Date,ANZ.AX,CBA.AX,NAB.AX,WBC.AX,^AXJO
2022-09-01,17.999387741088867,84.88882446289062,24.896129608154297,17.144014358520508,6845.60009765625
2022-09-02,18.086837768554688,85.68424224853516,25.09333038330078,17.281291961669922,6828.7001953125
2022-09-05,17.991436004638672,85.29537200927734,24.928998947143555,17.24091911315918,6852.2001953125
2022-09-06,17.95963478088379,84.94185638427734,24.846830368041992,17.17631721496582,6826.5
2022-09-07,17.713180541992188,83.1654052734375,24.082691192626953,16.821002960205078,6729.2998046875
2022-09-08,18.20609474182129,84.14643859863281,24.3374080657959,17.095561981201172,6848.7001953125
2022-09-09,18.301498413085938,84.42923736572266,24.526384353637695,17.160165786743164,6894.2001953125
2022-09-12,18.547954559326172,85.09209442138672,24.64141845703125,17.33782196044922,6964.5
2022-09-13,18.667207717895508,86.55919647216797,24.87969970703125,17.434728622436523,7009.7001953125
2022-09-14,18.2458438873291,83.48356628417969,24.11556053161621,17.111713409423828,6828.60009765625
2022-09-15,18.87391471862793,84.01385498046875,24.501737594604492,17.394351959228516,6842.89990234375
2022-09-16,18.72286033630371,83.28031158447266,24.616769790649414,17.386276245117188,6739.10009765625
2022-09-19,18.730810165405273,83.66034698486328,24.40313720703125,17.40242576599121,6719.89990234375
2022-09-20,18.953418731689453,85.31304168701172,24.830400466918945,17.67698860168457,6806.39990234375
2022-09-21,18.762611389160156,84.35853576660156,24.501737594604492,17.54778289794922,6700.2001953125
2022-09-23,18.587703704833984,82.75887298583984,24.11556053161621,17.29744529724121,6574.7001953125
2022-09-26,18.317398071289062,82.73235321044922,24.11556053161621,17.1036376953125,6469.39990234375
2022-09-27,18.404848098754883,82.57327270507812,24.03339195251465,17.006731033325195,6496.2001953125
2022-09-28,18.325345993041992,81.78668975830078,23.81976318359375,16.90175437927246,6462.0
2022-09-29,18.579755783081055,82.2992935180664,24.049827575683594,17.055185317993164,6555.0
2022-09-30,18.126590728759766,80.1604995727539,23.67186737060547,16.667566299438477,6474.2001953125
2022-10-03,18.102739334106445,80.08096313476562,23.60613250732422,16.63526725769043,6456.89990234375
2022-10-04,19.001117706298828,83.77523040771484,24.54281997680664,17.305522918701172,6699.2998046875
2022-10-05,19.47813606262207,85.98473358154297,25.06867790222168,17.886947631835938,6815.7001953125
2022-10-06,19.390682220458984,85.62237548828125,24.87148094177246,17.717365264892578,6817.5
2022-10-07,19.311180114746094,85.2158203125,24.764667510986328,17.66891098022461,6762.7998046875
2022-10-10,19.001117706298828,83.92547607421875,24.353839874267578,17.426652908325195,6667.7998046875
2022-10-11,19.04087257385254,83.07704162597656,24.2305908203125,17.44280242919922,6645.0
2022-10-12,19.67689323425293,85.10093688964844,24.551034927368164,18.096908569335938,6647.5
2022-10-13,20.090307235717773,86.72711944580078,25.13441276550293,18.629878997802734,6642.60009765625
2022-10-14,20.161855697631836,87.40764617919922,25.53702163696289,18.97712516784668,6758.7998046875
2022-10-17,20.201608657836914,86.69176483154297,25.29052734375,18.920597076416016,6664.39990234375
2022-10-18,20.392414093017578,88.18538665771484,25.660268783569336,19.3647403717041,6779.2001953125
2022-10-19,20.535518646240234,88.80404663085938,26.01358413696289,19.098255157470703,6800.10009765625
2022-10-20,20.535518646240234,89.06034088134766,26.202560424804688,19.316287994384766,6730.7001953125
2022-10-21,20.312910079956055,87.74348449707031,25.799951553344727,19.162857055664062,6676.7998046875
2022-10-24,20.344715118408203,88.80404663085938,25.988929748535156,19.275911331176758,6779.39990234375
2022-10-25,20.43216896057129,89.95298767089844,26.251861572265625,19.300138473510742,6798.60009765625
2022-10-26,20.543472290039062,90.14741516113281,26.3504581451416,19.388965606689453,6810.89990234375
2022-10-27,19.86769676208496,90.51861572265625,26.21078109741211,19.195159912109375,6845.10009765625
2022-10-28,20.042604446411133,91.22565460205078,26.292945861816406,19.37281608581543,6785.7001953125
2022-10-31,20.320859909057617,92.51600646972656,26.638038635253906,19.469722747802734,6863.5
2022-11-01,20.638874053955078,93.72679901123047,26.86810302734375,19.63930320739746,6976.89990234375
2022-11-02,20.654769897460938,93.65609741210938,26.900968551635742,19.7846622467041,6986.7001953125
2022-11-03,20.41626739501953,92.3569107055664,26.41619300842285,19.308212280273438,6857.89990234375
2022-11-04,20.273162841796875,91.07540893554688,26.39154052734375,19.493946075439453,6892.5
2022-11-07,19.921079635620117,91.10192108154297,26.07109832763672,18.726787567138672,6933.7001953125
2022-11-08,19.978397369384766,92.33924102783203,26.251861572265625,19.10633087158203,6958.89990234375
2022-11-09,20.101213455200195,92.59554290771484,26.01358413696289,19.154783248901367,6999.2998046875
2022-11-10,19.880144119262695,91.95037841796875,25.471290588378906,19.065954208374023,6964.0
2022-11-11,20.174901962280273,93.51468658447266,25.758867263793945,19.44549560546875,7158.0
